word,pos,ipa,meaning
conservative,adj,/kənˈsɝː.və.t̬ɪv/,thận trọng bảo thủ
commit,v,/kəˈmɪt/,cam kết
"fund (n, v)",,/fʌnd/,tài trợ (v) quỹ (n)
invest,n,/ɪnˈvest/,đầu tư
long-term,adj,/ˌlɔːŋ ˈtɜːrm/,dài hạn
lease,n,/li:s/,hợp đồng cho thuê (bất động sản)
lend,v,/lend/,"cho vay, cho mượn"
loan,n,/ləʊn/,sự vay nợ
managerial,adj,/¸mæni´dʒiəriəl/,"(thuộc) người quản lý, (thuộc) giám đốc"
mortgage,n,/’mɔ:gidʤ/,"cầm cố, thế chấp"
pull out,v,/pʊl aʊt/,rút (đầu tư)
portfolio,n,/pɔːrtˈfoʊlioʊ/,danh mục đầu tư
return,n,/rɪˈtɜːrn/,lợi nhuận
property,n,/’prɔpəti/,"tài sản, của cải, vật sở hữu"
resource,n,/ˈriːsɔːrs/,"nguồn tài nguyên, nguồn vốn"
wisely,adv,/ˈwaɪz.li/,một khách khôn ngoan
analysis,n,/əˈnæl.ə.sɪs/,"sự phân tích, bản phân tích"
annual,adj,/ˈæn.ju.əl/,hằng năm
cash,n,/kæʃ/,tiền mặt
complexity,n,/kəmˈplek.sə.t̬i/,sự phức tạp
conclusion,n,/kənˈkluː.ʒən/,kết luận
criterion,n,/kraɪˈtɪr.i.ən/,tiêu chí đánh giá
detail,n,/ˈdiːteɪl/,"chi tiết, tỉ mỉ"
"desire (n, v)",,/dɪˈzaɪər/,khao khát (v) sự khao khát (n)
"forecast (n, v)",,/ˈfɔːrkæst/,dự báo (v) sự dự đoán (n)
level,n,/ˈlevl/,"cấp bậc, mức"
overall,adj,/ˌoʊvərˈɔːl/,"toàn bộ, chung, tổng quát"
perspective,n,/pərˈspektɪv/,"viễn cảnh, cách nhìn nhận"
"project (n, v)",,/prəˈdʒekt/,dự án (n) ước đoán (v)
realistic,adj,/ˌriː.əˈlɪs.tɪk/,thực tế
target,v,/ˈtɑːrɡɪt/,nhắm vào
typically,adv,/ˈtɪp.ɪ.kəl.i/,"tiêu biểu, điển hình"
translation,n,/trænzˈleɪ.ʃən/,"bản dịch thuật, sự phiên dịch (về ngôn ngữ)"
"yield (v, n)",,/jiːld/,"sản lượng (n) sản xuất, cung cấp (v)"
calculation,n,/ˌkæl.kjəˈleɪ.ʃən/,"sự tính toán, sự dự trù"
deadline,n,/ˈdedlaɪn/,hạn chót
dispose,v,/dɪˈspoʊz/,"vứt bỏ, giải quyết"
dividend,n,/ˈdɪv.ə.dend//ˈdɪv.ə.dənd/,số bị chia
downsize,v,/ˈdaʊn.saɪz/,cắt giảm
"duty-free (adj, adv)",,/ˌduː.t̬iˈfriː/,miễn thuế
exact,adj,/ɪɡˈzækt/,"chính xác, đúng"
"executive (adj, n)",,/ɪɡˈzek.jə.t̬ɪv/,"(thuộc) chấp hành, sự thi hành; tổ chức hành pháp"
fill out,v,/fɪl aʊt/,điền vào (giấy tờ)
file,v,/faɪl/,"đệ trình, nộp sắp xếp (giấy tờ)"
own,v,/oʊ/,"mắc nợ, mang ơn"
joint,adj,/dʒɔɪnt/,"chung, cùng"
give up,v,/ɡɪv ʌp/,từ bỏ
preparation,n,/ˌprep.əˈreɪ.ʃən/,sự chuẩn bị
penalty,n,/ˈpen.əl.ti/,"khoản tiền phạt, hình phạt"
"refund (n, v)",,/rɪˈfʌnd/,sự hoàn lại (n) hoàn lại (v)
spouse,n,/spaʊs/,vợ/ chồng
withhold,v,/wɪðˈhoʊld/,giữ lại
adjacent,adj,/əˈdʒeɪsnt/,"liền kề, kế bên"
lobby,n,/ˈlɑːbi/,"hành lang, tiền sảnh"
conductive,adj,/kənˈduːsɪv/,có lợi
concentrate on,v,/ˈkɑːnsntreɪt ɑːn/,tập trung vào
collaboration,n,/kəˌlæb.əˈreɪ.ʃən/,sự cộng tác
disruption,n,/dɪsˈrʌp.ʃən/,"sự phá vỡ, sự hỗn loạn"
factory,n,/ˈfæk.tɚ.i/,"nhà máy, xí nghiệp"
goods,n,/ɡʊdz/,"của cải, hàng hóa"
hamper,v,/ˈhæmpər/,gây cản trở
inconsiderate,adj,/ˌɪnkənˈsɪdərət/,"sơ suất, thiếu thận trọng"
item,n,/ˈaɪ.t̬əm/,món đồ
opt,v,/ɑːpt/,chọn lựa
open to,adj,/əʊpən tu/,sẵn sàng đón nhận điều gì
move up,,/muːv ʌp/,"thăng tiến, tiến lên"
merchandise,n,/´mə:tʃən¸daiz/,hàng hóa
premises,n,/’premis/,biệt thự
priceless,adj,/ˈpraɪslɪs/,vô giá; không định giá được
scrutiny,n,/ˈskruː.t̬ən.i/,sự nghiên cứu kỹ lưỡng
agenda,n,/əˈdʒendə/,chương trình hội nghị
adhere to,v,/ədˈhɪr/,tuân thủ
bring up,v,/brɪŋ ʌp/,"nêu ra, đề cập tới"
conclude,v,/kənˈkluːd/,"kết thúc, kết luận"
goal,n,/ɡoʊl/,mục tiêu
go ahead,v,/ɡoʊ əˈhed/,tiếp tục
lengthy,adj,/ˈleŋθi/,"dài, lâu"
matter,n,/ˈmætər/,vấn đề
probability,n,/ˌprɒbəˈbɪlɪti/,khả năng có thể xảy ra
process,n,/’prouses/,"quá trình, sự tiến triển"
profitability,n,/’prɔfitə’biləti/,"sự có lợi, sự có ích; sự thuận lợi"
progressive,adj,/prəˈgrɛsɪv/,"tiến lên, tiến tới"
"progress (n, v)",,/prəˈɡres/,"phát triển, tiến bộ (v) sự phát triển, sự tiến bộ (n)"
priority,n,/praɪˈɔrət̮i/,"quyền ưu tiên, sự ưu tiên"
periodically,adv,/ˌpɪriˈɑdɪkli/,định kỳ
rate,n,/reit/,tỷ lệ
rearrange,v,/’ri:ə’reindʤ/,"sắp xếp lại, bố trí lại"
"waste (n, v)",,/weɪst/,lãng phí (v) sự lãng phí (n)
assume,v,/əˈsuːm/,"đảm đương, gánh vác"
ascertain,v,/ˌæsərˈteɪn/,"xác định, chắc chắn"
anxious,adj,/ˈæŋkʃəs/,lo lắng
decade,v,/ˈdekeɪd/,thập kỷ
differential,adj,/ˌdɪf.əˈren.ʃəl/,"khác biệt, chênh lệch"
dispose,v,/dɪˈspoʊz/,"vứt bỏ, giải quyết"
"experiment (n, v)",,/ɪkˈsperɪmənt/,làm thí nghiệm (v) cuộc thử nghiệm (n)
examine,v,/ɪɡˈzæmɪn/,khảo sát
logical,adj,/ˈlɑːdʒɪkl/,hợp lý
regular,adj,/ˈreɡ.jə.lɚ/,"đều đặn, thường xuyên"
redundant,adj,/ri’dʌndənt/,"thừa, dư"
reduce,v,/ri’dju:s/,"thu nhỏ, làm giảm bớt"
recommendation,n,/¸rekəmen´deiʃən/,"sự giới thiệu, sự tiến cử"
responsibility,n,/rɪˌspɑːnsəˈbɪləti/,"trách nhiệm, bổn phận"
"research (n, v)",,/rɪˈsɜːrtʃ/,nghiên cứu (v) việc nghiên cứu (n)
systematic,adj,/ˌsɪstəˈmætɪk/,có hệ thống
supervisor,n,/ˈsupərˌvaɪzər/,người giám sát
solve,v,/sɑːlv/,giải quyết
brand,n,/brænd/,"thương hiệu, nhãn hàng"
conform to,v,/kənˈfɔːrm tu/,phù hợp với
defect,n,/ˈdiːfekt/,nhược điểm
distinctive,adj,/dɪˈstɪŋk.tɪv/,"đặc biệt, độc đáo"
distinguish,v,/dɪˈstɪŋ.ɡwɪʃ/,"phân biệt, nhận ra"
"double (n, adj, adv)",,/ˈdʌb.əl/,"nhân đôi, gấp đôi"
enhance,v,/ɪnˈhæns/,nâng cao
effective,adj,/əˈfek.tɪv/,"hiệu quả, có hiệu lực"
efficient,adj,/ɪˈfɪʃ.ənt/,"năng suất cao, hiệu suất tốt"
ensure,v,/ɪnˈʃʊr/,"bảo đảm, chắc chắn"
garment,n,/ˈɡɑːrmənt/,quần áo
inspect,v,/ɪnˈspekt/,"kiểm tra, xem xét"
perceptive,adj,/pərˈsɛptɪv/,"tinh tường, sâu sắc"
repel,v,/rɪˈpel/,đẩy lùi (khách hàng)
take back,v,/teɪk bæk/,"trả lại, lấy lại"
throw out,v,/θrəʊ aʊt/,loại bỏ
uniformly,adv,/ˈyunəˌfɔrm/,"giống nhau, đồng bộ"
wrinkle,n,/ˈrɪŋkl/,nếp nhăn
apprehensive,adj,/ˌæprɪˈhensɪv/,e ngại
condition,n,/kənˈdɪʃn/,"điều kiện, tình trạng"
circumstance,n,/ˈsɜːrkəmstæns/,"hoàn cảnh, tình huống"
due to,pre,/duː tu/,"bởi vì, nhờ có"
entitlement,n,/ɪnˈtaɪ.t̬əl.mənt/,"quyền hạn, sự được phép làm"
expansion,n,/ɪkˈspæn.ʃən/,"sử mở rộng, giãn nở"
expensive,adj,/ɪkˈspen.sɪv/,"đắt tiền, đắt đỏ"
extension,n,/ɪkˈsten.ʃən/,"sự mở rộng, gia hạn"
fluctuate,v,/ˈflʌktʃueɪt/,"dao động, thay đổi thất thường"
"finance (n, v)",,/ˈfaɪ.næns/,tài chính; hỗ trợ tài chính
flexible,adj,/ˈflek.sə.bəl/,"linh hoạt, không cố định"
get out of,v,/ɡet aʊt əv/,"ra khỏi, thoát khỏi"
indicator,n,/ˈɪndəˌkeɪt̮ər/,dấu hiệu
"lease (n, v)",,/liːs/,hợp đồng cho thuê (n) cho thuê (v)
lock into,v,/lɑːk ˈɪntu/,ràng buộc
occupy,n,/ˈɑːkjupaɪ/,chiếm hữu
tenant,n,/ˈtenənt/,người thuê
subject to,v,/ˈsʌbdʒɪkt/,"tuân thủ, lệ thuộc vào"
arrive,v,/əˈraɪv/,đến
appeal,n,/əˈpiːl/,sức cuốn hút
"compromise (n, v)",,/ˈkɑːmprəmaɪz/,thỏa hiệp (v) sự thỏa hiệp (n)
daring,adj,/ˈdɛrɪŋ/,"cả gan, táo bạo"
familiar with,adj,/fəˈmɪliər wɪθ/ /,quen thuộc với
"guide (n, v)",,/ɡaɪd/,"hướng dẫn viên hướng dẫn, chỉ đường"
"grill (n, v)",,/ɡrɪl/,"chả nướng; nướng, thiêu đốt"
keen,adj,/kiːn/,"say mê, ham thích"
leisure,n,"/ˈliʒər , ˈlɛʒər/","thì giờ rỗi rãi, lúc thư nhàn"
luggage,n,/’lʌgiʤ/,hành lý
luxurious,adj,/lʌg´zjuəriəs/,"sang trọng, lộng lẫy; xa hoa"
mix,v,/mɪks/,"trộn, pha lẫn"
majority,n,/məˈdʒɔːrəti/,đa số
narrow,adj,/’nærou/,"hẹp, chật hẹp, eo hẹp"
rely on,v,/rɪˈlaɪ ɔːn/,dựa vào
suggestion,n,səɡˈdʒɛstʃən/,"đề nghị, gợi ý"
subjective,adj,/səbˈdʒektɪv/,mang tính chủ quan
"secure (v, adj)",,/sɪˈkjʊr/,"bảo vệ (v) an toàn, bảo đảm (adj)"
appetite,n,/ˈæpɪtaɪt/,sự thèm ăn
complete,v,/kəmˈpliːt/,hoàn thành
excite,v,/ɪkˈsaɪt/,kích thích
flavor,n,/ˈfleɪvər/,"hương vị, mùi vị"
foreign,adj,/ˈfɔːrən/,thuộc nước ngoài
ingredient,n,/ɪnˈɡriːdiənt/,thành phần
"judge (n, v)",,/dʒʌdʒ/,"thẩm phán (n) bình phẩm, phán xét (v)"
mix-up,n,/mɪks ʌp/,"sự lộn xộn, cuộc ẩu đả"
outlook,n,/´aut¸luk/,"quang cảnh, viễn cảnh"
outstanding,adj,/¸aut´stændiη/,"nổi bật, đáng chú ý; nổi tiếng, vượt trội"
parking,n,/ˈpɑːr.kɪŋ/,bãi đỗ xe
plant,n,"/plænt , plɑnt/",thực vật
pleasant,adj,/’plezənt/,"vui vẻ, dễ thương (người…)"
private,adj,/ˈpraɪvɪt/,"riêng, tư, cá nhân"
predict,v,/prɪˈdɪkt/,dự đoán
patron,n,/ˈpeɪtrən,khách quen
remind,v,/rɪˈmaɪnd/,nhắc nhở
randomly,adv,/ˈrændəm/,"tình cờ, ngẫu nhiên"
"burden (n, v)",,/ˈbɜːrdn/,gánh nặng (n) tạo gánh nặng (v)
commonly,adv,/ˈkɑmənli/,thông thường
delivery,n,/dɪˈlɪvəri/,sự giao hàng
elegance,n,/ˈelɪɡəns/,sự thanh lịch
fall to,v,/fɔːl tuː/,rơi vào tay (nói về trách nhiệm)
individual,adj,/ˌɪndɪˈvɪdʒuəl/,"cá nhân, riêng lẻ"
impress,v,/ɪmˈpres/,gây ấn tượng
"multiple (adj, v)",,/ˈmʌltɪplaɪ/,nhiều (adj) làm tăng lên (v)
process,n,/’prouses/,"quá trình, sự tiến triển"
profile,n,/´proufail/,tiểu sử sơ lược; mô tả sơ lược
promptly,adv,/´prɔmptli/,"mau lẹ, nhanh chóng; ngay lập tức"
pick up,v,/pɪk ʌp/,nhận hàng tại chỗ
raw,adj,/rɔ:/,"sống, thô"
receipt,n,/ri´si:t/,"công thức (làm bánh, nấu món ăn…)"
receive,v,/ri’si:v/,"nhận, lĩnh, thu"
reasonable,adj,/ˈriːznəbl/,"hợp lý, phải chăng"
recipe,n,/´resəpi/,công thức làm món ăn
settle,v,/ˈsetl/,thanh toán
apprentice,n,/əˈprentɪs/,người học việc
accustom to,v,/əˈkʌstəm tu/,làm quen với
culinary,adj,/ˈkʌlɪneri/,thuộc về nấu nướng
demanding,adj,/dɪˈmændɪŋ/,"khó khăn, yêu cầu cao"
draw,v,/drɔː/,"thu hút, lôi cuốn"
influx,n,/ˈɪnflʌks/,dòng người đi vào
incorporate,v,/ɪnˈkɔːrpəreɪt/,sát nhập
methodical,adj,/məˈθɑdɪkl/,làm việc có hệ thống (tính cách)
method,n,/ˈmeθəd/,phương pháp
outlet,n,/ˈaʊtlet/,cách thể hiện
procedure,n,/prəˈsidʒər/,quy trình
profession,n,/prəˈfeʃn/,chuyên môn
refrigerator,n,/rɪˈfrɪdʒ.ər.eɪ.tər/,tủ lạnh
regional,adj,/ˈridʒənl/,(thuộc) vùng; địa phương
repetitive,adj,/rɪˈpet̬.ə.t̬ɪv/,có đặc trưng lặp đi lặp lại
represent,v,/ˌrep.rɪˈzent/,"miêu tả, hình dung"
relinquish,v,/rɪˈlɪŋkwɪʃ/,từ bỏ
sample,n,/´sa:mpl/,"mẫu; vật mẫu, hàng mẫu"
theme,n,/θiːm/,"đề tài, chủ đề"
assist,v,/əˈsɪst/,hỗ trợ
coordinate,v,/koʊˈɔːrdɪneɪt/,phối hợp
dimension,n,/daɪˈmenʃn/,kích thước
exact,adj,/ɪɡˈzækt/,chính xác
general,adj,/ˈdʒenrəl/,"chung, tổng quát"
ideal,adj,/aɪˈdiːəl/,lý tưởng
lead time,n,/ˈliːd taɪm/,thời gian tiến hành
proximity,n,/prɑːkˈsɪməti/,"lân cận (về không gian, thời gian)"
regulation,n,/ˌrɛɡyəˈleɪʃn/,quy định
"search (n, v)",,/sə:t∫/,"sự nhìn để tìm, thăm dò"
schedule,n,/’skedʒu:l/,"kế hoạch làm việc, tiến độ thi công"
support,v,/səˈpɔrt/,"ủng hộ, khuyến khích"
stage,v,/steɪdʒ/,trình diễn
site,n,/saɪt/,địa điểm (xây dựng)
transit,n,/ˈtræn.zɪt/,vận chuyển
trial,n,/traɪəl/,thử nghiệm
upcoming,adj,/ˈʌpˌkʌm.ɪŋ/,sắp xảy ra
update,v,/ʌpˈdeɪt/,nâng cấp
vacancy,n,/ˈveɪ.kən.si/,vị trí bỏ trống
agency,n,/ˈeɪdʒənsi/,"công ty đại diện, môi giới"
announce,v,/əˈnaʊns/,thông báo
board,v,/bɔːrd/,"lên tàu, xe"
beverage,n,/ˈbevərɪdʒ/,đồ uống
claim,v,/kleɪm/,"cho là, khẳng định là"
depart,v,/dɪˈpɑːrt/,khởi hành
delay,v,/dɪˈleɪ/,trì hoãn
embark,v,/ɪmˈbɑːrk/,lên tàu
itinerary,n,/aɪˈtɪnəreri/,"lịch trình, hành trình"
luggage,n,/ˈlʌɡɪdʒ/,hành lý
prohibit,v,/prəˈhɪbɪt/,"cấm, ngăn chặn"
validate,v,/ˈvælɪdeɪt/,phê duyệt
vacation,n,/veɪˈkeɪ.ʃən/,kì nghỉ
venue,n,/ˈven.juː/,địa điểm
wealth,adj,/welθ/,giàu có
walkway,n,/ˈwɑː.kweɪ/,lối đi
yearly,adv,/ˈjɪr.li/,hằng năm
economy class,n,/ɪˈkɑnəmi klæs/,hạng phổ thông trên máy bay
extend,v,/ɪkˈstend/,"gia hạn, kéo dài"
expense,n,/ɪkˈspens/,chi phí
excursion,n,/ɪkˈskɜːrʒn/,chuyến tham quan
equivalent,adj,/ɪˈkwɪvələnt/,tương đương
economize,v,/ɪˈkɑːnəmaɪz/,tiết kiệm
distinguish,v,/dɪˈstɪŋɡwɪʃ/,phân biệt
destination,n,/ˌdestɪˈneɪʃn/,điểm đến
deal with,v,/diːl wɪθ/,"giải quyết, đối mặt với"
prospective,adj,/prəˈspektɪv,"có triển vọng, có khả năng"
substance,n,/ˈsʌbstəns/,chất
situation,n,/ˌsɪtʃuˈeɪʃn/,tình huống
track,n,/træk/,con đường
traffic,n,/ˈtræf.ɪk/,giao thông
transformation,n,/ˌtræns.fɚˈmeɪ.ʃən/,sự biến đổi
warning,n,/ˈwɔːr.nɪŋ/,sự cảnh báo
warranty,n,/ˈwɔːr.ən.t̬i/,sự bảo đảm
zone,n,/zoʊn/,"vùng, khu vực"
comprehensive,adj,/ˌkɑːmprɪˈhensɪv/,"toàn diện, đầy đủ"
duration,n,/duˈreɪʃn/,khoảng thời gian
directory,n,/daɪˈrɛktəri/,sách hướng dẫn
deluxe,adj,/ˌdəˈlʌks/,"sang trọng, cao cấp"
entitle,v,/ɪnˈtaɪtl/,cho phép
fare,n,/fer/,tiền vé
operate,v,/ˈɑːpəreɪt/,"hoạt động, vận hành"
offset,v,/ˈɔːfset/,bù lại
punctual,adj,/ˈpʌŋktʃuəl/,đúng giờ
remote,adj,/rɪˈmoʊt/,"xa xôi, hẻo lánh"
remainder,n,/rɪˈmeɪndər/,phần còn lại
relatively,adv,/ˈrɛlət̮ɪvli/,tương đối
switchboard,n,/ˈswɪtʃ.bɔːrd/,tổng đài
systematic,adj,/ˌsɪs.təˈmæt̬.ɪk/,có hệ thống
tradition,n,/trəˈdɪʃ.ən/,sự truyền thống
tourist,n,/ˈtʊr.ɪst/,du khách
tidy,adj,/ˈtaɪ.di/,ngăn nắp
temporary,adj,/ˈtem.pə.rer.i/,tạm thời
advance,v,/ədˈvæns/ 33,"tiến bộ, tiến tới"
check in,v,/tʃek ɪn/,"làm thủ tục (nhận phòng, nhận vé…)"
chain,n,/tʃeɪn/,chuỗi (doanh nghiệp)
expect,v,/ɪkˈspekt/,mong đợi
housekeeper,n,/ˈhaʊskiːpər/,nhân viên dọn phòng
notify,v,/ˈnoʊtɪfaɪ/,thông báo
preclude,v,/prɪˈkluːd/,ngăn cản
quote,n,/kwoʊt/,lời trích dẫn
reserve,v,/rɪˈzɜːrv/,đặt chỗ
rate,n,/reɪt/,"tỷ lệ, mức giá"
serve,v,/sɜːrv/,phục vụ
service,n,/’sə:vis/,"sự phục vụ, sự hầu hạ"
starter,n,/ˈstɑːr.t̬ɚ/,"người ra lệnh xuất phát, món khai vị"
surrounding,adj,/səˈraʊn.dɪŋ/,bao quanh
supporter,n,/səˈpɔːr.t̬ɚ/,người trợ giúp
supervise,v,/ˈsuː.pɚ.vaɪz/,giám sát
subscription,n,/səbˈskrɪp.ʃən/,sự đăng ký
confirm,v,/kənˈfɜːrm/,"xác nhận, chứng thực"
contact,v,/ˈkɑːntækt/,liên hệ
confusion,n,/kənˈfyuʒn/,sự bối rối
coincide,v,/ˌkoʊɪnˈsaɪd/,"trùng hợp, đồng thời"
disappoint,v,/ˌdɪsəˈpɔɪnt/,gây thất vọng
"guarantee (v, n)",,/ˌɡærənˈtiː/,bảo đảm (v) sự bảo đảm (n)
"haggle (n, v)",,/ˈhæɡ.əl/,sự mặc cả; tranh cãi
intend,v,/ɪnˈtend/,"dự định, có ý định"
inclusion,n,/ɪnˈkluː.ʒən/,"sự bao gồm, tính vào"
insurance,n,/ɪnˈʃɜ.r.əns/,"sự bảo hiểm, hợp đồng bảo hiểm"
"joint (n, adj)",,/dʒɔɪnt/,"mối nối, khớp; chung"
license,v,/ˈlaɪsns/,cấp phép
label,n,/’leɪbl/,"nhãn, nhãn hiệu"
lean,n,/li:n/,"độ nghiêng, độ dốc"
nervous,adj,/ˈnɜːrvəs/,"lo lắng, bồn chồn"
"request (n, v)",,/rɪˈkwest/,yêu cầu (v) lời yêu cầu (n)
tier,n,/tɪr/,"hàng, tầng"
"thrill (n, v)",,/θrɪl/,"hồi hộp, xúc động (v) cảm giác hồi hộp (n)"
tempt,v,/tempt/,"lôi kéo, thuyết phục"
abroad,adv,/əˈbrɑːd/,ở nước ngoài
attain,v,/əˈteɪn/,đạt được (mục đích)
accessible,adj,/əkˈses.ə.bəl/,khả năng tiếp cận được
agreeable,adj,/əˈɡriː.ə.bəl/,dễ chịu; thích hợp với
alternative,adj,/ɑːlˈtɝː.nə.t̬ɪv/,"xen kẽ, luân phiên"
continue,v,/kənˈtɪnjuː/,tiếp tục
combine,v,/kəmˈbaɪn/,"kết hợp, cộng lại"
disperse,v,/dɪˈspɜːrs/,giải toán
description,n,/dɪˈskrɪpʃn/,sự mô tả
disappointing,adj,/ˌdɪs.əˈpɔɪn.t̬ɪŋ/,đáng thất vọng
"display (n, v)",,/dɪˈspleɪ/,"sự bày biện; trưng bày, phô diễn"
entertain,v,/ˌentərˈteɪn/,giải trítiếp đãi
"influence (n, v)",,/ˈɪnfluəns/,sự ảnh hưởng (n)
range,n,/reɪndʒ/,phạm vi
represent,v,/ˌreprɪˈzent/,"tượng trưng, đại diện"
"release (n, v)",,/rɪˈliːs/,công chiếu (v) sự công chiếu (n)
successive,adj,/səkˈsesiv/,liên tiếp
separate,v,/ˈsepəreɪt/,"tách rời, chia"
audience,n,/ˈɔːdiəns/,khán giả (xem trực tiếp)
approach,v,/əˈprəʊtʃ/,tiếp cận
"acting (adj, n)",,/ˈæktɪŋ/,tạm thay thế trách nhiệm (adj) diễn xuất (n)
create,v,/kriˈeɪt/,tạo ra
dialogue,n,/ˈdaɪəlɑːɡ/,cuộc đối thoại
draw,v,/drɑː/,"kéo, lôi, thu hútvẽ"
duration,n,/djʊəˈreɪ.ʃən/,"khoảng thời gian, thời hạn"
experience,n,/ɪkˈspɪriəns/,kinh nghiệm
element,n,/ˈelɪmənt/,yếu tố
enroll,v,/ɪnˈrəʊl/,"đăng ký, ghi tên"
enthusiastic,adj,/ɪnˌθuː.ziˈæs.tɪk/,"nhiệt tình, hứng khởi"
famed,adj,/feɪmd/,"nổi tiếng, lừng danh"
feature,n,/ˈfiː.tʃɚ/,"nét, đặc điểm"
occur,v,/əˈkɜːr/,"diễn ra, xảy ra"
perform,v,/pərˈfɔːrm/,"biểu diễn, trình diễn"
"review (n, v)",,/rɪˈvjuː/,bài phê bình (n) xem xét lại (v)
rehearse,v,/rɪˈhɜːrs/,diễn tập
sell out,v,/sel aʊt/,bán hết
available,adj,/əˈveɪləbl/,sẵn có
broaden,v,/ˈbrɔːdn/,mở rộng
categorize,v,/ˈkætəɡəraɪz/,phân loại
divide,v,/dɪˈvaɪd/,phân chia
disparate,adj,/ˈdɪs.pɚ.ət/,khác biệt hoàn toàn
"feedback (n, v)",,/ˈfiːd.bæk/,"phản hồi, góp ý"
favor,v,/ˈfeɪvər/,thích hơn
instinct,n,/ˈɪnstɪŋkt/,bản năng
imply,v,/ɪmˈplaɪ/,"ngụ ý, ý nói"
impression,n,/ɪmˈpreʃ.ən/,ấn tượngdấu vết
improper,adj,/ɪmˈprɑː.pɚ/,"không thích hợp, không phù hợp"
inclined,adj,/ɪnˈklaɪnd/,"có thiên hướng, khuynh hướng"
live,adj,/laɪv/,còn sống
lay,n,/lei/,"bài thơ ngắn, bài vè ngắn"
relaxation,n,/ˌrilækˈseɪʃn/,sự thư giãn
reason,n,/ˈriːzn/,lý do
"urge (v, n)",,/ɜːrdʒ/,thôi thúc (v) sự thôi thúc (n)
taste,n,/teɪst/,"thị hiếu, gu (thẩm mỹ)"
admire,v,/ədˈmaɪər/,ngưỡng mộ
acquire,v,/əˈkwaɪər/,"có được, mua được tiếp thu (kiến thức)"
criticism,n,/ˈkrɪt̮əˌsɪzəm/,sự phê bình
collection,n,/kəˈlɛkʃn/,bộ sưu tập
express,v,/ɪkˈspres/,"biểu lộ, bày tỏ"
fashion,n,/ˈfæʃn/,thời trang
leisure,n,/ˈliːʒər/,thời gian rảnh
licensing,n,/ˈlaɪ.sən.sɪŋ/,sự cấp giấy phép
locate,v,/loʊˈkeɪt/,"trụ sở ở, nằm ở"
lobby,n,/lɒb.i/,hành lang
merge,v,/mə:dʤ/,hoà vào; kết hợp; hợp nhất
monument,n,/’mɔnjumənt/,"vật kỷ niệm, đài kỷ niệm, bia kỷ niệm"
moral,adj,/ˈmɔːr.əl/,"(thuộc) đạo đức, phẩm hạnhtinh thần"
respond,v,/rɪˈspɑːnd/,"trả lời, phản ứng lại"
"schedule (n, v)",,/ˈskedʒuːl/,"lịch trình, kế hoạch (n) lên kế hoạch (v)"
spectrum,n,/ˈspektrəm/,"quang phổ, dải âm thanh"
specialize in,v,/ˈspeʃəlaɪz  ɪn/,"chuyên về (lĩnh vực gì, làm gì)"
significant,adj,/sɪɡˈnɪfɪkənt/,"quan trọng, có ý nghĩa"
assignment,n,/əˈsaɪnmənt/,"bài tập, nhiệm vụ"
choosy,adj,/ˈtʃuzi/,kén chọn
constitute,v,/ˈkɑːnstətuːt/,"cấu thành, tạo hành"
disseminate,v,/dɪˈsemɪneɪt/,truyền bá
decisive,adj,/dɪˈsaɪsɪv/,quyết đoán
investigate,v,/ɪnˈvestɪɡeɪt/,"điều tra, theo dõi"
in-depth,idiom,/ɪn depθ/,"kỹ càng, triệt để"
impact,n,/ɪmˈpækt/,sự tác động
"link (v, n)",,/lɪŋk/,mối liên hệ (n) liên kết (v)
notice,n,/’nәƱtis/,"thông tri, yết thị, thông báo"
objective,adj,/əb´dʒektiv/,khách quan
operate,v,/’ɔpəreit/,"hoạt động, đang làm việc, thi hành"
organization,n,"/,ɔ:gənai’zeiʃn/","sự tổ chức, sự cấu tạo"
overview,n,/´ouvə¸vju:/,"sự khái quát; miêu tả chung, ngắn gọn"
politician,n,/ˌpɑːləˈtɪʃn/,chính trị gia
patent,adj,/’peitənt/,"tài tình, khéo léo, tinh xảo"
subscribe to,v,/səbˈskraɪb/,đặt mua dài hạn quyên góp
thorough,adj,/ˈθɜːroʊ/,"kỹ lưỡng, tỉ mỉ"
aware,adj,/əˈwer/,"biết, nhận thức"
catch up,v,/kætʃ ʌp/,bắt kịp với
distract,v,/dɪˈstrækt/,làm xao nhãng
evident,adj,/ˈevɪdənt/,"hiển nhiên, rõ ràng"
encourage,v,/ɪnˈkɜːrɪdʒ/,khuyến khích ai làm gì
habit,n,/ˈhæbɪt/,thói quen
overview,n,/ˈoʊvərvjuː/ 22,cái nhìn khái quát
irritate,v,/ˈɪrɪteɪt/,làm bực mình
illuminate,v,/ɪˈluːmɪneɪt/,chiếu sáng
practical,adj,/ˈpræktɪkəl/,thực hành
position,n,/pəˈzɪʃən/,"vị trí, chỗ (của một vật gì)"
platform,n,/’plætfɔ:m/,"nền, bục, bệ"
patience,n,/´peiʃəns/,"tính kiên nhẫn, tính nhẫn nại; sự bền chí"
position,n,/pəˈzɪʃn/,"vị trí, chỗ"
predictable,adj,/pri’diktəbl/,"có thể đoán trước, có thể dự đoán, dự báo"
probably,adv,/´prɔbəbli/,"có khả năng, có lẽ, có thể"
restore,v,/rɪˈstɔːr/,khôi phục
regular,adj,/ˈreɡjələr/,thường xuyên
assess,v,/əˈses/,đánh giá
